student_id,club_id,join_count
SV2056,CLB_AM_NHAC,2.0
SV2059,CLB_AM_NHAC,0.0
SV2010,CLB_AM_NHAC,3.0
SV2079,CLB_AM_NHAC,1.0
SV2050,CLB_KY_NANG_MEM,2.0
SV2040,CLB_KY_NANG_MEM,2.0
SV2066,CLB_KY_NANG_MEM,5.0
SV2018,CLB_AM_NHAC,3.0
SV2065,CLB_THE_THAO,2.0
SV2066,CLB_TINH_NGUYEN,2.0
SV2070,CLB_TINH_NGUYEN,5.0
SV2063,CLB_THE_THAO,1.0
SV2023,CLB_THE_THAO,0.0
SV2079,CLB_THE_THAO,1.0
SV2055,CLB_AM_NHAC,3.0
SV2074,CLB_TINH_NGUYEN,1.0
SV2051,CLB_AM_NHAC,0.0
SV2068,CLB_KY_NANG_MEM,0.0
SV2070,CLB_THE_THAO,2.0
SV2015,CLB_KY_NANG_MEM,3.0
SV2072,CLB_KY_NANG_MEM,2.0
SV2074,CLB_KY_NANG_MEM,0.0
SV2037,CLB_THE_THAO,5.0
SV2072,CLB_AM_NHAC,5.0
SV2038,CLB_TINH_NGUYEN,2.0
SV2042,CLB_KY_NANG_MEM,0.0
SV2006,CLB_THE_THAO,3.0
SV2044,CLB_TINH_NGUYEN,2.0
SV2022,CLB_TINH_NGUYEN,0.0
SV2028,CLB_TINH_NGUYEN,0.0
SV2053,CLB_TINH_NGUYEN,3.0
SV2078,CLB_KY_NANG_MEM,3.0
SV2015,CLB_THE_THAO,3.0
SV2007,CLB_KY_NANG_MEM,0.0
SV2044,CLB_THE_THAO,0.0
SV2009,CLB_AM_NHAC,5.0
SV2008,CLB_AM_NHAC,2.0
SV2030,CLB_AM_NHAC,0.0
SV2005,CLB_THE_THAO,0.0
SV2073,CLB_TINH_NGUYEN,5.0
SV2005,CLB_THE_THAO,0.0
SV2064,CLB_TINH_NGUYEN,1.0
SV2041,CLB_THE_THAO,2.0
SV2039,CLB_AM_NHAC,5.0
SV2030,CLB_THE_THAO,0.0
SV2003,CLB_KY_NANG_MEM,2.0
SV2024,CLB_AM_NHAC,0.0
SV2038,CLB_THE_THAO,2.0
SV2032,CLB_THE_THAO,2.0
SV2050,CLB_THE_THAO,2.0
SV2058,CLB_AM_NHAC,1.0
SV2068,CLB_AM_NHAC,3.0
SV2045,CLB_AM_NHAC,0.0
SV2061,CLB_AM_NHAC,0.0
SV2061,CLB_AM_NHAC,3.0
SV2011,CLB_KY_NANG_MEM,0.0
SV2065,CLB_AM_NHAC,0.0
SV2028,CLB_AM_NHAC,5.0
